method,source_method,query_idx,query_name,k,effective_k,temperature,status,skip_reason,norm_l2,acc_at_0_1,recall,cosine,module,edit_cost,provenance_max_weight,provenance_entropy_norm,provenance_effective_exemplars,topk_names,topk_scores,weights,metric_impl
EPR-K5,TRR,865,Free Jazz Avantgarde Blue,5,5,0.05,ok,,0.042318145176711223,0.9487179487179487,0.9166666666666666,0.9952620558658064,1.0,0.7782482802,0.2464800053,0.9911173305,4.8602863092,"[""Contemporary Jazz Nocturne"", ""Contemporary Jazz Blue"", ""Contemporary Jazz Velvet"", ""Cool Jazz Vibe"", ""Afrobeat Guitar Sunset""]","[0.8443989905381988, 0.8412643805680922, 0.8322944815099316, 0.824230820632692, 0.8239883239727761]","[0.24648000532125014, 0.23150203789165497, 0.19348320160917198, 0.16466571971213445, 0.16386903546578843]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K3,TRR,343,Emo Piano,3,3,0.05,ok,,0.08173350772847361,0.8205128205128205,0.7941176470588235,0.9837570340799805,1.0,2.0084488819,0.509217614,0.9039601277,2.5071710022,"[""Desert Rock Fuzz"", ""Space Rock Delay"", ""New Wave Clean""]","[0.8656005776500914, 0.8458674606408193, 0.8036877877733289]","[0.5092176139992903, 0.34316559585605116, 0.1476167901446585]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K5,TRR,343,Emo Piano,5,5,0.05,ok,,0.07282727332472233,0.8717948717948718,0.8529411764705882,0.9870922408993571,1.0,1.7637442745,0.4359127525,0.8461513088,3.3038972779,"[""Desert Rock Fuzz"", ""Space Rock Delay"", ""New Wave Clean"", ""Gritty Synth"", ""Grime UK""]","[0.8656005776500914, 0.8458674606408193, 0.8036877877733289, 0.7779427076771095, 0.7730295460451317]","[0.43591275247764166, 0.2937648960537522, 0.12636648759750516, 0.07551148129822778, 0.06844438257287315]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K3,TRR,645,Deep House Synth,3,3,0.05,ok,,0.20195996649968637,0.7045454545454546,0.5357142857142857,0.8954627240630669,0.8333333333333334,5.589250778,0.361222323,0.9982124404,2.9881856923,"[""Celtic Folk Moonrise"", ""Indian Classical Sitar Moonrise"", ""K-Pop Shimmer Heritage""]","[0.8329239405202562, 0.8281126798135281, 0.8253896995179129]","[0.36122232295680656, 0.328083584825333, 0.3106940922178603]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K5,TRR,645,Deep House Synth,5,5,0.05,ok,,0.20203352218861742,0.7045454545454546,0.5357142857142857,0.8963191437172363,0.8333333333333334,5.5006640511,0.2273711879,0.9980986511,4.9690606922,"[""Celtic Folk Moonrise"", ""Indian Classical Sitar Moonrise"", ""K-Pop Shimmer Heritage"", ""Indian Classical Sitar Heritage"", ""Power Pop Sparkle""]","[0.8329239405202562, 0.8281126798135281, 0.8253896995179129, 0.8228068853205674, 0.8225665925286402]","[0.22737118793887998, 0.20651202786795164, 0.19556622153059464, 0.18572048362067384, 0.18483007904189988]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K3,TRR,999,Americana Alt Outlaw,3,3,0.05,ok,,0.041538642676371224,0.9487179487179487,0.9166666666666666,0.9952575547805509,1.0,0.8506828212,0.4057103536,0.9820202337,2.8891866221,"[""Western Swing Pickin"", ""Motown Soul Memphis"", ""Latin Rock Fusion Heritage""]","[0.8260857969327782, 0.8182382713555499, 0.801376411959748]","[0.405710353576762, 0.34677944706098646, 0.24751019936225152]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K5,TRR,999,Americana Alt Outlaw,5,5,0.05,ok,,0.041750110000864565,0.8974358974358975,0.8333333333333334,0.9951332871290469,1.0,0.8443977723,0.3424812426,0.9005867254,3.8595077935,"[""Western Swing Pickin"", ""Motown Soul Memphis"", ""Latin Rock Fusion Heritage"", ""Memphis Soul Groove"", ""K-Pop Shimmer Sahara""]","[0.8260857969327782, 0.8182382713555499, 0.801376411959748, 0.7595258965475593, 0.743284134651921]","[0.34248124261410184, 0.29273459475568175, 0.20893625190960186, 0.09047005232517838, 0.06537785839543622]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K3,TRR,498,Spanish Guitar,3,3,0.05,ok,,0.05111318319866385,0.9285714285714286,0.8636363636363636,0.9881582450108235,0.75,1.7820066701,0.3939630853,0.9910954924,2.9420824502,"[""Chillstep Ambient"", ""Spanish Flamenco"", ""Neofolk Acoustic""]","[0.7695445005897699, 0.7600626564664947, 0.752493832933787]","[0.39396308534888336, 0.3259096939065834, 0.2801272207445332]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K5,TRR,498,Spanish Guitar,5,5,0.05,ok,,0.03678647025944521,0.9743589743589743,0.9545454545454546,0.9943276229777996,1.0,0.871083432,0.2642106774,0.9879283271,4.8113867536,"[""Chillstep Ambient"", ""Spanish Flamenco"", ""Neofolk Acoustic"", ""Kalimba Melody"", ""Nordic Noir""]","[0.7695445005897699, 0.7600626564664947, 0.752493832933787, 0.7513929132427093, 0.7397421301802982]","[0.2642106773962157, 0.2185707854348739, 0.1878668471805899, 0.18377552837890618, 0.14557616160941436]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K3,TRR,118,Flamenco Fusion,3,3,0.05,ok,,0.24422347322992138,0.631578947368421,0.4444444444444444,0.7871717533059652,0.4444444444444444,11.3548437267,0.4510988078,0.9722775629,2.8208421048,"[""Congolese Rumba"", ""Somali Hip Hop"", ""Reggae Dubplate""]","[0.7889077952197538, 0.7664731035935848, 0.7615287920941156]","[0.451098807758903, 0.2880092417190626, 0.2608919505220345]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K5,TRR,118,Flamenco Fusion,5,5,0.05,ok,,0.24229774127483,0.631578947368421,0.4444444444444444,0.7910169787756567,0.4444444444444444,11.2252832889,0.3350963664,0.9577940437,4.371472477,"[""Congolese Rumba"", ""Somali Hip Hop"", ""Reggae Dubplate"", ""German Schlager"", ""City Pop Smooth""]","[0.7889077952197538, 0.7664731035935848, 0.7615287920941156, 0.7432569414823449, 0.7386647218452622]","[0.33509636641361146, 0.21394614380177918, 0.19380220728319594, 0.13447806182718078, 0.12267722067423276]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K3,TRR,983,Country Rock Twang Outlaw,3,3,0.05,ok,,0.05493594624352247,0.8974358974358975,0.8333333333333334,0.9920669536864869,1.0,1.1264884527,0.4001022027,0.9911323962,2.9409978561,"[""Synth Pop Glimmer"", ""Latin Rock Fusion Tropical"", ""Dream Pop Sparkle""]","[0.8574052890036581, 0.8430516344310324, 0.8429481000998155]","[0.4001022026733412, 0.30025944863858994, 0.29963834868806893]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K5,TRR,983,Country Rock Twang Outlaw,5,5,0.05,ok,,0.049310015892302696,0.9230769230769231,0.875,0.9933427942031716,1.0,1.0504326047,0.2744201215,0.9853684602,4.770620536,"[""Synth Pop Glimmer"", ""Latin Rock Fusion Tropical"", ""Dream Pop Sparkle"", ""Latin Rock Fusion Sunset"", ""Chamber Pop Hazy""]","[0.8574052890036581, 0.8430516344310324, 0.8429481000998155, 0.8334064119072656, 0.8252720302896128]","[0.2744201215105743, 0.20594046678461347, 0.20551446981995455, 0.16981042714016845, 0.14431451474468915]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K3,TRR,332,Dirty South Trap,3,3,0.05,ok,,0.05647015094443625,0.9230769230769231,0.9090909090909091,0.9953853219125917,1.0,1.5580070221,0.4120732739,0.9718582938,2.8346410332,"[""West Coast Hip Hop"", ""Memphis Rap"", ""Sonic Youth Noise""]","[0.642677986810983, 0.6366381366553727, 0.6119185651355171]","[0.412073273858672, 0.36518503838194394, 0.22274168775938408]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K5,TRR,332,Dirty South Trap,5,5,0.05,ok,,0.08634087445999122,0.6923076923076923,0.6363636363636364,0.989602599997157,1.0,2.4609471562,0.3101713618,0.9498312509,4.3130693065,"[""West Coast Hip Hop"", ""Memphis Rap"", ""Sonic Youth Noise"", ""Funky Bassline"", ""Piano House""]","[0.642677986810983, 0.6366381366553727, 0.6119185651355171, 0.6063973339282653, 0.58463929134607]","[0.31017136175266835, 0.27487815355255485, 0.16765972702978751, 0.15013154357274958, 0.09715921409223979]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K3,TRR,84,Cloud Rap Ethereal,3,3,0.05,ok,,0.04445754416430351,0.9230769230769231,0.9,0.9963781691175349,1.0,1.0659997379,0.3774200552,0.9951904422,2.9685056249,"[""Floating Synth"", ""Lush Reverb Pad"", ""Arpeggiated Synth""]","[0.777650602258756, 0.770772113790053, 0.7651052172952523]","[0.37742005523739475, 0.32891159376064544, 0.2936683510019598]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K5,TRR,84,Cloud Rap Ethereal,5,5,0.05,ok,,0.05394425395334092,0.8717948717948718,0.8333333333333334,0.994419095032405,1.0,1.344742296,0.255782622,0.9894428253,4.8352432126,"[""Floating Synth"", ""Lush Reverb Pad"", ""Arpeggiated Synth"", ""Nashville Sound"", ""Snowy Ambient""]","[0.777650602258756, 0.770772113790053, 0.7651052172952523, 0.7572310931379338, 0.7517146462824497]","[0.255782621955769, 0.22290778848736986, 0.1990229712553599, 0.170023687972892, 0.15226293032860921]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K3,TRR,365,Ghostly Pad,3,3,0.05,ok,,0.05053713261158322,0.9487179487179487,0.9333333333333333,0.9954103874692957,1.0,1.241328674,0.6908358008,0.7579728539,1.9045880679,"[""Rainforest Ambient"", ""Impressionist Piano"", ""Prog Rock Complex""]","[0.8176130700933024, 0.7431190821092868, 0.742386693526508]","[0.6908358008498818, 0.15571422098137092, 0.15344997816874723]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K5,TRR,365,Ghostly Pad,5,5,0.05,ok,,0.05569836398909927,0.8974358974358975,0.8666666666666667,0.994488999913827,1.0,1.3597897483,0.5848978484,0.7703096958,2.5764819181,"[""Rainforest Ambient"", ""Impressionist Piano"", ""Prog Rock Complex"", ""Oceanic Ambient"", ""Northern Soul""]","[0.8176130700933024, 0.7431190821092868, 0.742386693526508, 0.716855045820166, 0.7151691114602079]","[0.5848978483969001, 0.13183583234215482, 0.1299188055353181, 0.07796630361375032, 0.07538121011187679]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K3,TRR,812,Technical Thrash Chaos,3,3,0.05,ok,,0.04218830414903178,0.9743589743589743,0.9444444444444444,0.9942982906749581,1.0,0.4839821871,0.5815255293,0.8262803524,2.2202227715,"[""Technical Thrash Rage"", ""Nu Metal 7-String Onslaught"", ""Techno Industrial Bass""]","[0.9291379056594145, 0.8993191173322497, 0.8401890383691725]","[0.5815255293198665, 0.32030674250266317, 0.09816772817747033]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K5,TRR,812,Technical Thrash Chaos,5,5,0.05,ok,,0.04703221427966751,0.9230769230769231,0.8333333333333334,0.9931738738334401,1.0,0.4191501248,0.5016989188,0.7937899446,2.9005843504,"[""Technical Thrash Rage"", ""Nu Metal 7-String Onslaught"", ""Techno Industrial Bass"", ""Sludge Metal Chaos"", ""Complex Jazz Fusion Blue""]","[0.9291379056594145, 0.8993191173322497, 0.8401890383691725, 0.8345635404159398, 0.8242637766855496]","[0.5016989187983668, 0.2763379048643998, 0.08469214265645533, 0.07567992029377223, 0.06159111338700576]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K3,TRR,938,Modern R&B Sweet,3,3,0.05,ok,,0.2319845757331254,0.6153846153846154,0.5416666666666666,0.7952607255850654,0.5714285714285714,9.4466707426,0.4380189606,0.9513674323,2.7306103845,"[""Middle Eastern Moonrise"", ""Overtone Drone Aether"", ""Dark Ambient Drone Prism""]","[0.7728279948520707, 0.7646155722188522, 0.7311471532176739]","[0.438018960631915, 0.3716727437127568, 0.19030829565532806]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K5,TRR,938,Modern R&B Sweet,5,5,0.05,ok,,0.2442924317681352,0.6153846153846154,0.5416666666666666,0.7818900106875001,0.5714285714285714,9.7929377608,0.3654553906,0.8706198133,3.6499903736,"[""Middle Eastern Moonrise"", ""Overtone Drone Aether"", ""Dark Ambient Drone Prism"", ""Dark Ambient Drone Glitch"", ""Modular Hybrid Flux""]","[0.7728279948520707, 0.7646155722188522, 0.7311471532176739, 0.7228140956238619, 0.6498828282593812]","[0.365455390567357, 0.31010029228147956, 0.15878123727016225, 0.13440615682445603, 0.03125692305654505]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K3,TRR,717,Overtone Drone Static,3,3,0.05,ok,,0.2877451221124546,0.5319148936170213,0.42857142857142855,0.8045850676960593,0.7142857142857143,9.43408912,0.5239730073,0.92807313,2.5708866488,"[""Synthwave Guitar Neon"", ""Raw Black Metal Wrath"", ""Country Rock Twang Rambler""]","[0.8875994288628248, 0.8528877669489507, 0.8429020670567402]","[0.5239730073234663, 0.2617021256509605, 0.2143248670255733]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K5,TRR,717,Overtone Drone Static,5,5,0.05,ok,,0.266435400225579,0.5319148936170213,0.42857142857142855,0.8378442019129224,0.7142857142857143,8.8743669228,0.3860965277,0.9382105976,4.067975181,"[""Synthwave Guitar Neon"", ""Raw Black Metal Wrath"", ""Country Rock Twang Rambler"", ""Prepared Guitar Drift"", ""Modern R&B Soulful""]","[0.8875994288628248, 0.8528877669489507, 0.8429020670567402, 0.8342719897634105, 0.8332656774241454]","[0.3860965277366674, 0.19283871612257322, 0.15792814860615978, 0.13289224715262382, 0.13024436038197593]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K3,TRR,656,UK Garage Wave,3,3,0.05,ok,,0.15688709360952877,0.6818181818181818,0.5,0.9379757457863596,0.8333333333333334,4.8286013622,0.4302722314,0.9813891262,2.8776695105,"[""Britpop Sparkle"", ""Gypsy Jazz Manouche Nocturne"", ""Glitch Noise Glitch""]","[0.8827973906469722, 0.8632360408809671, 0.8610951615864655]","[0.4302722314368013, 0.2909615446328993, 0.27876622393029943]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K5,TRR,656,UK Garage Wave,5,5,0.05,ok,,0.15661814155413972,0.7045454545454546,0.5357142857142857,0.9390869222047362,0.8333333333333334,4.8002853332,0.2857388176,0.985953578,4.7671474515,"[""Britpop Sparkle"", ""Gypsy Jazz Manouche Nocturne"", ""Glitch Noise Glitch"", ""Power Pop Glimmer"", ""Acid Jazz Funk Improv""]","[0.8827973906469722, 0.8632360408809671, 0.8610951615864655, 0.8582607103922969, 0.8541102169797689]","[0.28573881763448916, 0.1932242000904509, 0.1851254285136797, 0.17492277020957162, 0.16098878355180868]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K3,TRR,1048,Power Pop Hazy,3,3,0.05,ok,,0.21292265956235196,0.7777777777777778,0.64,0.8056881108207113,0.3333333333333333,7.7292876645,0.398064324,0.9916493053,2.9444235366,"[""Nu Metal 7-String Doom"", ""Power Metal Epic Rage"", ""Country Rock Twang Rambler""]","[0.9130286037091659, 0.8993482511712194, 0.8987461233055813]","[0.39806432396454894, 0.30278002733630244, 0.29915564869914874]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K5,TRR,1048,Power Pop Hazy,5,5,0.05,ok,,0.09122096602047651,0.8717948717948718,0.7916666666666666,0.9712701244650651,1.0,1.5948743043,0.2697256752,0.9877872547,4.8057005507,"[""Nu Metal 7-String Doom"", ""Power Metal Epic Rage"", ""Country Rock Twang Rambler"", ""Trap Metal Neon"", ""Indie Pop Jangle Charm""]","[0.9130286037091659, 0.8993482511712194, 0.8987461233055813, 0.8901525613745092, 0.8842571180255172]","[0.269725675241582, 0.20516168469853135, 0.20270583041472848, 0.17069606513472205, 0.15171074451043623]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K3,TRR,504,Sub-Bass Drone,3,3,0.05,ok,,0.010874644585165906,1.0,1.0,0.9997646820103996,1.0,0.2376147513,0.8996995261,0.3585252472,1.2275547023,"[""Hauntology Library"", ""Ethereal Female Vocals"", ""Atmospheric Grime""]","[0.8550208050203706, 0.7183404018114401, 0.7016032825779419]","[0.8996995261177659, 0.05846643234811096, 0.041834041534123005]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K5,TRR,504,Sub-Bass Drone,5,5,0.05,ok,,0.010588913808757998,1.0,1.0,0.9997759291348409,1.0,0.2357646907,0.8733368637,0.3323630546,1.3020534333,"[""Hauntology Library"", ""Ethereal Female Vocals"", ""Atmospheric Grime"", ""Shamanic Drum"", ""Floating Synth""]","[0.8550208050203706, 0.7183404018114401, 0.7016032825779419, 0.6531022073634283, 0.6480281902710675]","[0.8733368637135318, 0.056753270594403986, 0.04060823593797285, 0.015393562420192476, 0.01390806733389885]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K3,TRR,461,Power Ballad,3,3,0.05,ok,,0.10697180576841286,0.8974358974358975,0.8823529411764706,0.9719593128255812,1.0,2.0172184393,0.5692716462,0.8938873118,2.3989351668,"[""Oriental Synth"", ""Baroque Pop"", ""Okinawan Folk""]","[0.7724465306691426, 0.7245359203688506, 0.7231447354386278]","[0.5692716461618414, 0.2183600976195872, 0.21236825621857142]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K5,TRR,461,Power Ballad,5,5,0.05,ok,,0.09435678114092204,0.8461538461538461,0.8235294117647058,0.9786458286698855,1.0,2.1471819203,0.4224663611,0.9180424211,3.8016625642,"[""Oriental Synth"", ""Baroque Pop"", ""Okinawan Folk"", ""Lofi Study Beats"", ""Tango Dramatic""]","[0.7724465306691426, 0.7245359203688506, 0.7231447354386278, 0.7169758658808606, 0.7089176370674986]","[0.4224663610867869, 0.16204881530614007, 0.157602165890236, 0.13930928442407248, 0.11857337329276452]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K3,TRR,281,2-Step Garage,3,3,0.05,ok,,0.2275163974876608,0.7368421052631579,0.6111111111111112,0.8174087979810317,0.4444444444444444,10.6361164362,0.5204342522,0.9290785431,2.5788615177,"[""Conga Afro"", ""Punk Ska"", ""VHS Glitch""]","[0.806280967303562, 0.7736174444447033, 0.7606076141650516]","[0.5204342521512063, 0.27080340266365105, 0.20876234518514275]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K5,TRR,281,2-Step Garage,5,5,0.05,ok,,0.09906548251439615,0.8974358974358975,0.8823529411764706,0.9766160034281991,1.0,1.9518243572,0.3758136134,0.9447952219,4.1524713782,"[""Conga Afro"", ""Punk Ska"", ""VHS Glitch"", ""Hi-NRG Dance"", ""Electro Swing""]","[0.806280967303562, 0.7736174444447033, 0.7606076141650516, 0.7572709302201621, 0.7557763614285624]","[0.375813613405848, 0.19555132056922522, 0.15075051452284696, 0.14101870903827168, 0.13686584246380828]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K3,TRR,593,Trap Metal Pulse,3,3,0.05,ok,,0.1992134531390714,0.7045454545454546,0.5357142857142857,0.906369081386467,0.8333333333333334,5.6356426582,0.3826533225,0.9859018917,2.9137077919,"[""Country Rock Twang Rambler"", ""Synth Pop Glimmer"", ""Gypsy Jazz Manouche Nocturne""]","[0.8380156350705416, 0.8355793813319765, 0.8173071361054132]","[0.3826533225461694, 0.3644554571725947, 0.2528912202812358]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K5,TRR,593,Trap Metal Pulse,5,5,0.05,ok,,0.20157580414973292,0.7045454545454546,0.5357142857142857,0.9035324287928229,0.8333333333333334,5.7472435317,0.2597125379,0.9851704842,4.7677833695,"[""Country Rock Twang Rambler"", ""Synth Pop Glimmer"", ""Gypsy Jazz Manouche Nocturne"", ""Philadelphia Soul Philly"", ""Dream Pop Sparkle""]","[0.8380156350705416, 0.8355793813319765, 0.8173071361054132, 0.8151897162654049, 0.8127729632885932]","[0.25971253787232323, 0.2473613742431097, 0.1716410566824333, 0.16452409270471183, 0.15676093849742187]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K3,TRR,429,Neo-Classical Metal,3,3,0.05,ok,,0.10382054636711004,0.7435897435897436,0.7058823529411765,0.9767117040739356,1.0,2.6369742246,0.6225415097,0.8388831617,2.1745649088,"[""Teen Pop Bubble"", ""Rave Stabs"", ""IDM Glitch""]","[0.837248130078016, 0.7833453609080365, 0.7710468416246493]","[0.6225415096559269, 0.21182382708792957, 0.16563466325614334]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K5,TRR,429,Neo-Classical Metal,5,5,0.05,ok,,0.09999806760002576,0.7948717948717948,0.7647058823529411,0.9780888732255575,1.0,2.5262724456,0.510630116,0.8388280095,3.0691695019,"[""Teen Pop Bubble"", ""Rave Stabs"", ""IDM Glitch"", ""Cosmic Disco"", ""Gritty Synth""]","[0.837248130078016, 0.7833453609080365, 0.7710468416246493, 0.7565220929911656, 0.7434019016406378]","[0.5106301160301744, 0.173745242246812, 0.13585928971041444, 0.10160825105116056, 0.07815710096143845]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K3,TRR,845,Gypsy Jazz Manouche Crescendo,3,3,0.05,ok,,0.06759003953208566,0.8461538461538461,0.75,0.985105763021342,1.0,1.3074282381,0.6131786556,0.8514637263,2.2182605658,"[""Contemporary Jazz Groove"", ""Nashville Session Dusty"", ""Bossa Nova Acoustic Mystic""]","[0.8375049132976472, 0.7799001382865015, 0.7797254783138086]","[0.6131786555942083, 0.19374848288664115, 0.19307286151915068]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K5,TRR,845,Gypsy Jazz Manouche Crescendo,5,5,0.05,ok,,0.06222429303712142,0.8461538461538461,0.75,0.9873919934125881,1.0,1.2334946536,0.4453774858,0.9046376939,3.6326032209,"[""Contemporary Jazz Groove"", ""Nashville Session Dusty"", ""Bossa Nova Acoustic Mystic"", ""Smooth Jazz Lead Groove"", ""Indie Pop Jangle Shimmer""]","[0.8375049132976472, 0.7799001382865015, 0.7797254783138086, 0.7792461438099861, 0.7777331697890943]","[0.4453774858197972, 0.14072768417848902, 0.14023695192081212, 0.1388989673942048, 0.134758910686697]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K3,TRR,603,Hyperpop Glitch Cyber,3,3,0.05,ok,,0.1661533932473329,0.6590909090909091,0.4642857142857143,0.9295652784246685,0.8333333333333334,5.2075205204,0.498474498,0.9369936377,2.6322356958,"[""Power Pop Radio"", ""Britpop Hazy"", ""Mathcore Dissonant Rage""]","[0.8650421429266524, 0.840312847332015, 0.8187626141492788]","[0.4984744980361446, 0.3039814010568777, 0.19754410090697758]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K5,TRR,603,Hyperpop Glitch Cyber,5,5,0.05,ok,,0.15744592475987124,0.6590909090909091,0.4642857142857143,0.9384703752914081,0.8333333333333334,5.0140286985,0.3942511671,0.9143281379,3.8526074848,"[""Power Pop Radio"", ""Britpop Hazy"", ""Mathcore Dissonant Rage"", ""Latin Rock Fusion Heritage"", ""Prepared Guitar Aether""]","[0.8650421429266524, 0.840312847332015, 0.8187626141492788, 0.8011764908713297, 0.7960360833441047]","[0.3942511670602757, 0.2404235775419784, 0.15624067557173513, 0.1099114613571513, 0.09917311846885934]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K3,TRR,977,Country Rock Twang Twang,3,3,0.05,ok,,0.10994697927691038,0.7948717948717948,0.6666666666666666,0.9644420649939155,1.0,1.8940574448,0.4306992523,0.9770932188,2.8554548164,"[""Post-Metal Swell Venom"", ""Chamber Pop Hazy"", ""Country Rock Twang Rambler""]","[0.8975913466723251, 0.8829044567662147, 0.8700379346909209]","[0.43069925230974754, 0.3210742028516214, 0.24822654483863105]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K5,TRR,977,Country Rock Twang Twang,5,5,0.05,ok,,0.10490888406180254,0.8205128205128205,0.7083333333333334,0.9677759896551468,1.0,1.8089775145,0.30985149,0.968977167,4.5285166852,"[""Post-Metal Swell Venom"", ""Chamber Pop Hazy"", ""Country Rock Twang Rambler"", ""Britpop Charm"", ""Deathcore Breakdown Fury""]","[0.8975913466723251, 0.8829044567662147, 0.8700379346909209, 0.8614696933772383, 0.8542136298893981]","[0.3098514899675858, 0.2309855882270782, 0.17857789247435593, 0.150454400590337, 0.13013062874064313]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K3,TRR,916,Southern Soul Gospel Soulful,3,3,0.05,ok,,0.07428411305396257,0.8205128205128205,0.75,0.9817257175070843,1.0,1.5066166582,0.4636084496,0.9606101897,2.7585759934,"[""Chicago Soul Philly"", ""Reverse Ambient Drift"", ""Nashville Session Outlaw""]","[0.8009001554421133, 0.7809852312122526, 0.7647745518655527]","[0.463608449552113, 0.3112952605584476, 0.22509628988943947]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K5,TRR,916,Southern Soul Gospel Soulful,5,5,0.05,ok,,0.09343724026562947,0.7948717948717948,0.7083333333333334,0.9718905108231013,1.0,1.9526837642,0.3253039645,0.9670382284,4.4827197698,"[""Chicago Soul Philly"", ""Reverse Ambient Drift"", ""Nashville Session Outlaw"", ""Reverse Ambient Void"", ""Bossa Nova Acoustic Voyage""]","[0.8009001554421133, 0.7809852312122526, 0.7647745518655527, 0.7642326211920287, 0.7594814026417476]","[0.32530396446078036, 0.21842911291920186, 0.15794517023403978, 0.15624250750434604, 0.14207924488163187]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K3,TRR,220,Sega Mauritian,3,3,0.05,ok,,0.24725883506958038,0.5789473684210527,0.5416666666666666,0.7865838714118335,0.4444444444444444,11.8448470964,0.430551893,0.9813200598,2.8771822208,"[""South African House"", ""Samba Funk"", ""Multicultural Fusion""]","[0.8448889273753988, 0.8250971169015293, 0.8233100323309315]","[0.430551893043978, 0.28981177150140053, 0.2796363354546216]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K5,TRR,220,Sega Mauritian,5,5,0.05,ok,,0.24695566603180047,0.5789473684210527,0.5416666666666666,0.7868945174766224,0.4444444444444444,11.8440435565,0.3315102007,0.9497239882,4.2994757546,"[""South African House"", ""Samba Funk"", ""Multicultural Fusion"", ""Desert Blues"", ""Dancy Synthpop""]","[0.8448889273753988, 0.8250971169015293, 0.8233100323309315, 0.7945918789792479, 0.7891819669795492]","[0.3315102007028055, 0.223145130909113, 0.2153103939108444, 0.12123339992142462, 0.10880087455581261]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K3,TRR,869,Free Jazz Avantgarde Crescendo,3,3,0.05,ok,,0.08372169249336436,0.8205128205128205,0.7083333333333334,0.9771580327388477,1.0,1.5870145714,0.412704152,0.9828800202,2.8920709233,"[""Country Rock Twang Rambler"", ""Complex Jazz Fusion Improv"", ""Chamber Pop Hazy""]","[0.9095141122211017, 0.8986815113811847, 0.8854372665988769]","[0.4127041519777528, 0.3323135598020202, 0.25498228822022695]",epr_rcpp_softmax_topk_observed_kb_range
EPR-K5,TRR,869,Free Jazz Avantgarde Crescendo,5,5,0.05,ok,,0.08168351759068063,0.8205128205128205,0.7083333333333334,0.9782933751497023,1.0,1.7295037695,0.315424719,0.9532447471,4.3498857407,"[""Country Rock Twang Rambler"", ""Complex Jazz Fusion Improv"", ""Chamber Pop Hazy"", ""Glitch Noise Glitch"", ""Smooth Jazz Lead Vibe""]","[0.9095141122211017, 0.8986815113811847, 0.8854372665988769, 0.8636316788319748, 0.8567117757102151]","[0.3154247190070118, 0.2539831758911465, 0.1948798339638839, 0.12599867325723613, 0.10971359788072171]",epr_rcpp_softmax_topk_observed_kb_range
